"task_view","task_view_descr","package","Date","Title","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","Archs","MD5sum","NeedsCompilation","File","Repository"
"Bayesian","Bayesian Inference","abc","2015-05-05","Tools for Approximate Bayesian Computation (ABC)","2.1",NA,"R (>= 2.10), abc.data, nnet, quantreg, MASS, locfit",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"c9fffe4334c178917f762735aba59653","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","acebayes","2020-10-05","Optimal Bayesian Experimental Design using the ACE Algorithm","1.10",NA,"R (>= 3.5.0), lhs","Rcpp (>= 0.12.9), compare, randtoolbox, parallel","Rcpp, RcppArmadillo (>= 0.9.100.5.0)",NA,NA,"GPL-2",NA,NA,NA,NA,"3c0bc4f2709e54ac4c1813fc3cf5143f","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","AdMit","2022-02-08","Adaptive Mixture of Student-t Distributions","2.1.9",NA,"mvtnorm",NA,NA,"coda",NA,"GPL (>= 2)",NA,NA,NA,NA,"720ee7e2036f20e965e384e79814b6b7","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","arm","2021-10-15","Data Analysis Using Regression and Multilevel/Hierarchical
Models","1.12-2",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"7dfb41402defde48694ff961933063f6","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BaBooN","2015-06-15","Bayesian Bootstrap Predictive Mean Matching - Multiple and
Single Imputation for Discrete Data","0.2-0",NA,"R (>= 3.1.0), Rcpp (>= 0.11.2)","Hmisc, MASS, nnet, coda","Rcpp, RcppArmadillo","mice, lattice, norm",NA,"GPL (>= 2)",NA,NA,NA,NA,"0bdc0d6a57caff88544d081385bfe897","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BACCO","2013-12-12","Bayesian Analysis of Computer Code Output (BACCO)","2.0-9",NA,"emulator (>= 1.2-13), calibrator (>= 1.2-5), approximator (>=
1.2-6)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"3617d103715e808055a0d18bb0826bfc","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bamlss","2021-11-24","Bayesian Additive Models for Location, Scale, and Shape (and
Beyond)","1.1-6",NA,"R (>= 3.5.0), coda, colorspace, mgcv","Formula, MBA, mvtnorm, sp, Matrix, survival, methods, parallel",NA,"akima, bit, ff, ffbase, fields, gamlss, gamlss.dist, geoR,
rjags, BayesX, mapdata, maps, maptools, nnet, spatstat, spdep,
zoo, keras, splines2, sdPrior, statmod, glogis, glmnet,
scoringRules, knitr, rmarkdown, MASS, tensorflow",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"4e8356330f16b743e001768632f5d10d","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BART","2021-01-05","Bayesian Additive Regression Trees","2.9",NA,"R (>= 2.10), nlme, nnet, survival","Rcpp (>= 0.12.3), parallel, tools","Rcpp","MASS, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"73d7b23be58aa49cbbe9f7b59a04543e","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BAS","2021-11-12","Bayesian Variable Selection and Model Averaging using Bayesian
Adaptive Sampling","1.6.0",NA,"R (>= 3.0)","stats, graphics, utils, grDevices",NA,"MASS, knitr, ggplot2, GGally, rmarkdown, roxygen2, dplyr,
glmbb, testthat, covr",NA,"GPL (>= 3)",NA,NA,NA,NA,"06c1f10449e55dfa2e29ee79bc116570","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayesDA","2012-04-10","Functions and Datasets for the book ""Bayesian Data Analysis""","2012.04-1",NA,"stats, R (>= 2.2.0)",NA,NA,"MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"fdf97942a76b33fa87588a267068501c","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayesFactor","2021-12-13","Computation of Bayes Factors for Common Designs","0.9.12-4.3",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"03b41f3a865abd6265a05617fa1d6f6d","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayesGARCH","2021-05-16","Bayesian Estimation of the GARCH(1,1) Model with Student-t
Innovations","2.1.10",NA,NA,"mvtnorm, coda",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"24a9b2ae32c6b0e1575dafad8617dcba","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayesianTools","2019-12-09","General-Purpose MCMC and SMC Samplers and Tools for Bayesian
Statistics","0.1.7",NA,"R (>= 3.1.2)","coda, emulator, mvtnorm, tmvtnorm, IDPmisc, Rcpp (>= 0.12.12),
ellipse, numDeriv, msm, MASS, Matrix, stats, utils, graphics,
DHARMa, gap, bridgesampling","Rcpp","DEoptim, lhs, sensitivity, knitr, rmarkdown, roxygen2,
testthat",NA,"GPL-3",NA,NA,NA,NA,"4df433d36fd79cb750328943aa1cfe43","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayesImageS","2021-04-11","Bayesian Methods for Image Segmentation using a Potts Model","0.6-1",NA,"R (>= 3.5.0)","Rcpp (>= 0.10.6)","Rcpp, RcppArmadillo","mcmcse, coda, PottsUtils, rstan, knitr, rmarkdown, lattice",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"ce0ee36d244cd9bb3910f49b2db8a401","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayesm","2019-10-15","Bayesian Inference for Marketing/Micro-Econometrics","3.1-4",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"2d233a12add2baf55edc72aa36643b85","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayesmeta","2022-02-21","Bayesian Random-Effects Meta-Analysis and Meta-Regression","3.0",NA,"forestplot (>= 2.0.0), metafor (>= 2.0-0), mvtnorm (>= 1.1-1),
numDeriv (>= 2016.8-1.1)",NA,NA,"compute.es, knitr, rmarkdown, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"16851635359a9b8566dcd871135532dd","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayesmix","2021-01-07","Bayesian Mixture Models with JAGS","0.7-5",NA,"R (>= 2.10),","graphics, stats, methods, rjags (>= 2.1.0), coda (>= 0.13)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"95c335730670277f72163e4efaf33d0b","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayesQR","2017-01-27","Bayesian Quantile Regression","2.3",NA,"R (>= 3.0), graphics (>= 3.0), methods (>= 3.0), stats (>=
3.0), utils (>= 2.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"f85ca81fd6e1b547341c54ee85b58452","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bayestestR","2021-10-30","Understand and Describe Bayesian Models and Posterior
Distributions","0.11.5",NA,"R (>= 3.4)","insight (>= 0.14.1), datawizard (>= 0.2.0), methods, stats,
utils",NA,"BayesFactor, bayesQR, blavaan, bridgesampling, brms, dplyr,
effectsize, emmeans, GGally, ggdist, ggplot2, ggridges, httr,
KernSmooth, knitr, lavaan, lme4, logspline, MASS, mclust,
mediation, modelbased, parameters, performance, rmarkdown,
rstan, rstanarm, see, spelling, stringr, testthat, tidyr,
tweedie",NA,"GPL-3",NA,NA,NA,NA,"472ae1ebdc441614ca2539b27e9ff7a6","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayesTree","2016-07-06","Bayesian Additive Regression Trees","0.3-1.4",NA,NA,"nnet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"38fcf209d6c0300bfaaf663e7253cd9e","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayesValidate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayesian","Bayesian Inference","BayesVarSel","2020-02-18","Bayes Factors, Model Choice and Variable Selection in Linear
Models","2.0.1",NA,"MASS (>= 7.3-45), mvtnorm (>= 1.0-5), parallel (>= 3.3), R (>=
3.3)",NA,NA,"knitr, faraway, hdi",NA,"GPL-2",NA,NA,NA,NA,"a53ed094bda74c16f3b2b965fb42c54d","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayesX","2019-08-24","R Utilities Accompanying the Software Package BayesX","0.3-1",NA,"shapefiles","sp, maptools, colorspace, coda, splines, methods",NA,"spdep, akima, gpclib, rgeos",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"4584a95b2eedb019f0678f329a780f5e","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BayHaz","2012-10-29","R Functions for Bayesian Hazard Rate Estimation","0.1-3",NA,"R (>= 1.8.0), splines",NA,NA,"coda",NA,"GPL (>= 2)",NA,NA,NA,NA,"127731a86cd87cdf7f0d39931353bfe8","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BAYSTAR","2013-09-27","On Bayesian analysis of Threshold autoregressive model (BAYSTAR)","0.2-9",NA,"R (>= 3.0.1), mvtnorm, coda",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"b34469f18eaf073b3dbe1cd29a6d8780","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bbemkr","2014-04-05","Bayesian bandwidth estimation for multivariate kernel regression
with Gaussian error","2.0",NA,"R (>= 3.0.1), MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"105b0bde9a91092acff941ca7964ede4","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","bbricks","2020-05-07","Bayesian Methods and Graphical Model Structures for Statistical
Modeling","0.1.4",NA,"R (>= 3.5.0)",NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"42aa48446ced9c451f4260546c2e36cc","no",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BCBCSF","2015-09-26","Bias-Corrected Bayesian Classification with Selected Features","1.0-1",NA,"R (>= 2.13.1), abind",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"db48e4433214b8cfa6fcbb85f7fee421","yes",NA,"https://cran.rstudio.com/src/contrib"
"Bayesian","Bayesian Inference","BCE","2014-05-22","Bayesian composition estimator: estimating sample (taxonomic)
composition from biomarker data","2.1",NA,"R (>= 2.0.1), FME, limSolve, Matrix",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"73373f442a14a73a205a30b69fa118d9","no",NA,"https://cran.rstudio.com/src/contrib"
